type,opt,N,time
seq,O3,12000,6.657496666666667
omp-task,O1,8000,0.9089316666666667
mpi,O1,12000,83.98736666666667
seq,O1,4000,0.708771
omp-task,O3,12000,2.4850666666666665
omp-task,O1,4000,0.17805433333333331
mpi,O2,16000,197.806
omp-for,O3,16000,6.267636666666667
seq,O1,8000,3.1692400000000003
omp-task,O3,4000,0.128717
omp-task,O2,8000,0.913968
seq,O3,8000,2.59675
mpi,O3,16000,179.69899999999998
seq,O2,4000,0.7087003333333334
seq,O1,16000,15.953333333333333
omp-task,O2,12000,2.6738199999999996
omp-for,O2,16000,6.736246666666666
omp-task,O1,16000,6.789143333333333
seq,O2,12000,7.77217
omp-task,O2,4000,0.17907766666666666
omp-task,O3,8000,0.774159
seq,O2,8000,3.17366
seq,O3,4000,0.571304
omp-for,O1,12000,2.844883333333333
mpi,O3,8000,22.324966666666665
seq,O3,16000,13.751199999999999
mpi,O1,16000,198.21166666666667
omp-for,O3,4000,0.1577046666666667
omp-for,O2,8000,0.9827073333333333
mpi,O2,4000,2.3580633333333334
omp-task,O3,16000,6.467246666666667
omp-for,O2,4000,0.196279
omp-for,O3,8000,0.8291663333333333
mpi,O2,12000,84.05833333333334
omp-for,O3,12000,2.5294866666666667
mpi,O3,4000,2.80449
mpi,O2,8000,23.82483333333333
mpi,O3,12000,75.24456666666667
omp-for,O2,12000,2.780283333333333
mpi,O1,4000,2.3998399999999998
seq,O1,12000,7.867133333333332
omp-task,O2,16000,6.609266666666667
omp-for,O1,8000,1.0668773333333332
omp-for,O1,16000,6.887926666666666
mpi,O1,8000,23.795599999999997
omp-task,O1,12000,2.6874033333333336
seq,O2,16000,16.0148
omp-for,O1,4000,0.219917
