file,time,type,N,threads,procs,opt
omp-task_N8000_t1_run3.out,6.51,omp-task,8000,1.0,,
omp-task_N12000_t8_run2.out,141.38,omp-task,12000,8.0,,
mpi_N4000_p1_run3.out,1.8,mpi,4000,,1.0,
omp-task_N12000_t2_run1.out,35.91,omp-task,12000,2.0,,
mpi_N16000_p20_run3.out,12.0,mpi,16000,,20.0,
mpi_N16000_p2_run3.out,21.0,mpi,16000,,2.0,
omp-for_N8000_t4_run2.out,5.02,omp-for,8000,4.0,,
omp-for_N8000_t4_run3.out,4.96,omp-for,8000,4.0,,
mpi_N16000_p2_run2.out,20.0,mpi,16000,,2.0,
mpi_N16000_p20_run2.out,9.0,mpi,16000,,20.0,
mpi_N4000_p1_run2.out,1.63,mpi,4000,,1.0,
omp-task_N12000_t8_run3.out,142.06,omp-task,12000,8.0,,
omp-task_N8000_t1_run2.out,6.59,omp-task,8000,1.0,,
mpi_N16000_p8_run1.out,16.0,mpi,16000,,8.0,
mpi_N16000_p8_run3.out,37.0,mpi,16000,,8.0,
omp-task_N12000_t8_run1.out,176.75,omp-task,12000,8.0,,
omp-task_N12000_t2_run2.out,22.65,omp-task,12000,2.0,,
omp-for_N8000_t4_run1.out,6.66,omp-for,8000,4.0,,
mpi_N16000_p2_run1.out,19.0,mpi,16000,,2.0,
mpi_N16000_p20_run1.out,10.0,mpi,16000,,20.0,
omp-task_N12000_t2_run3.out,21.02,omp-task,12000,2.0,,
mpi_N4000_p1_run1.out,1.74,mpi,4000,,1.0,
omp-task_N8000_t1_run1.out,6.23,omp-task,8000,1.0,,
mpi_N16000_p8_run2.out,13.0,mpi,16000,,8.0,
omp-for_N12000_t1_run1.out,11.22,omp-for,12000,1.0,,
omp-for_N4000_t8_run2.out,7.93,omp-for,4000,8.0,,
mpi_N12000_p4_run1.out,17.0,mpi,12000,,4.0,
omp-for_N4000_t2_run1.out,1.55,omp-for,4000,2.0,,
omp-task_N16000_t4_run3.out,39.92,omp-task,16000,4.0,,
omp-task_N16000_t4_run2.out,41.14,omp-task,16000,4.0,,
omp-for_N4000_t8_run3.out,6.83,omp-for,4000,8.0,,
omp-for_N12000_t1_run2.out,15.12,omp-for,12000,1.0,,
omp-for_N4000_t8_run1.out,4.46,omp-for,4000,8.0,,
mpi_N12000_p4_run2.out,8.0,mpi,12000,,4.0,
omp-for_N4000_t2_run2.out,1.53,omp-for,4000,2.0,,
omp-task_N16000_t4_run1.out,85.31,omp-task,16000,4.0,,
omp-for_N4000_t2_run3.out,1.27,omp-for,4000,2.0,,
mpi_N12000_p4_run3.out,11.0,mpi,12000,,4.0,
omp-for_N12000_t1_run3.out,15.06,omp-for,12000,1.0,,
mpi_N12000_p8_run2.out,14.0,mpi,12000,,8.0,
mpi_N4000_p20_run1.out,3.0,mpi,4000,,20.0,
omp-task_N16000_t2_run3.out,31.61,omp-task,16000,2.0,,
omp-for_N4000_t4_run1.out,1.92,omp-for,4000,4.0,,
mpi_N12000_p2_run1.out,10.0,mpi,12000,,2.0,
mpi_N8000_p1_run1.out,6.19,mpi,8000,,1.0,
omp-task_N16000_t2_run2.out,40.65,omp-task,16000,2.0,,
omp-task_N4000_t1_run1.out,1.67,omp-task,4000,1.0,,
omp-task_N16000_t8_run1.out,117.34,omp-task,16000,8.0,,
mpi_N12000_p8_run3.out,32.0,mpi,12000,,8.0,
mpi_N12000_p8_run1.out,31.48,mpi,12000,,8.0,
omp-task_N16000_t8_run3.out,75.46,omp-task,16000,8.0,,
mpi_N4000_p20_run2.out,2.0,mpi,4000,,20.0,
omp-task_N4000_t1_run3.out,1.61,omp-task,4000,1.0,,
mpi_N8000_p1_run3.out,6.23,mpi,8000,,1.0,
omp-for_N4000_t4_run2.out,1.94,omp-for,4000,4.0,,
mpi_N12000_p2_run2.out,8.0,mpi,12000,,2.0,
mpi_N12000_p2_run3.out,11.0,mpi,12000,,2.0,
omp-for_N4000_t4_run3.out,1.92,omp-for,4000,4.0,,
mpi_N8000_p1_run2.out,5.94,mpi,8000,,1.0,
omp-task_N16000_t2_run1.out,43.63,omp-task,16000,2.0,,
omp-task_N4000_t1_run2.out,1.81,omp-task,4000,1.0,,
mpi_N4000_p20_run3.out,2.0,mpi,4000,,20.0,
omp-task_N16000_t8_run2.out,86.6,omp-task,16000,8.0,,
omp-for_N16000_t1_run3.out,29.57,omp-for,16000,1.0,,
omp-for_N8000_t8_run1.out,9.87,omp-for,8000,8.0,,
omp-for_N8000_t2_run2.out,4.26,omp-for,8000,2.0,,
mpi_N16000_p4_run3.out,20.0,mpi,16000,,4.0,
omp-task_N12000_t4_run1.out,59.95,omp-task,12000,4.0,,
mpi_N16000_p4_run2.out,16.0,mpi,16000,,4.0,
omp-for_N8000_t2_run3.out,4.32,omp-for,8000,2.0,,
omp-for_N16000_t1_run2.out,29.76,omp-for,16000,1.0,,
omp-for_N8000_t8_run2.out,9.98,omp-for,8000,8.0,,
omp-for_N8000_t2_run1.out,11.85,omp-for,8000,2.0,,
omp-task_N12000_t4_run2.out,52.19,omp-task,12000,4.0,,
omp-task_N12000_t4_run3.out,41.37,omp-task,12000,4.0,,
mpi_N16000_p4_run1.out,21.0,mpi,16000,,4.0,
omp-for_N8000_t8_run3.out,10.82,omp-for,8000,8.0,,
omp-for_N16000_t1_run1.out,30.54,omp-for,16000,1.0,,
omp-for_N12000_t2_run2.out,21.65,omp-for,12000,2.0,,
omp-task_N4000_t4_run3.out,3.19,omp-task,4000,4.0,,
omp-for_N4000_t1_run2.out,1.16,omp-for,4000,1.0,,
mpi_N8000_p4_run3.out,4.0,mpi,8000,,4.0,
omp-for_N12000_t8_run1.out,42.12,omp-for,12000,8.0,,
mpi_N8000_p4_run2.out,3.0,mpi,8000,,4.0,
omp-for_N4000_t1_run3.out,1.24,omp-for,4000,1.0,,
mpi_N12000_p20_run1.out,6.0,mpi,12000,,20.0,
omp-task_N4000_t4_run2.out,3.1,omp-task,4000,4.0,,
omp-for_N12000_t2_run3.out,15.52,omp-for,12000,2.0,,
omp-for_N12000_t2_run1.out,38.23,omp-for,12000,2.0,,
mpi_N12000_p20_run3.out,6.0,mpi,12000,,20.0,
omp-for_N4000_t1_run1.out,1.65,omp-for,4000,1.0,,
omp-for_N12000_t8_run2.out,41.82,omp-for,12000,8.0,,
omp-for_N12000_t8_run3.out,41.41,omp-for,12000,8.0,,
mpi_N8000_p4_run1.out,2.0,mpi,8000,,4.0,
mpi_N12000_p20_run2.out,6.0,mpi,12000,,20.0,
omp-task_N4000_t4_run1.out,1.98,omp-task,4000,4.0,,
mpi_N4000_p8_run3.out,3.0,mpi,4000,,8.0,
omp-task_N8000_t8_run3.out,40.85,omp-task,8000,8.0,,
omp-task_N12000_t1_run2.out,14.99,omp-task,12000,1.0,,
mpi_N16000_p1_run1.out,17.9,mpi,16000,,1.0,
omp-task_N12000_t1_run3.out,15.05,omp-task,12000,1.0,,
mpi_N4000_p2_run1.out,1.03,mpi,4000,,2.0,
omp-task_N8000_t8_run2.out,39.87,omp-task,8000,8.0,,
omp-task_N8000_t2_run1.out,13.13,omp-task,8000,2.0,,
mpi_N4000_p8_run2.out,3.0,mpi,4000,,8.0,
omp-for_N16000_t4_run1.out,55.22,omp-for,16000,4.0,,
omp-for_N16000_t4_run3.out,33.97,omp-for,16000,4.0,,
omp-task_N8000_t2_run3.out,8.29,omp-task,8000,2.0,,
mpi_N4000_p2_run3.out,2.0,mpi,4000,,2.0,
omp-task_N12000_t1_run1.out,15.0,omp-task,12000,1.0,,
mpi_N16000_p1_run3.out,15.13,mpi,16000,,1.0,
mpi_N16000_p1_run2.out,13.76,mpi,16000,,1.0,
omp-task_N8000_t8_run1.out,35.21,omp-task,8000,8.0,,
mpi_N4000_p2_run2.out,2.0,mpi,4000,,2.0,
mpi_N4000_p8_run1.out,4.0,mpi,4000,,8.0,
omp-task_N8000_t2_run2.out,8.32,omp-task,8000,2.0,,
omp-for_N16000_t4_run2.out,55.6,omp-for,16000,4.0,,
omp-for_N8000_t1_run1.out,5.17,omp-for,8000,1.0,,
omp-for_N16000_t8_run3.out,36.02,omp-for,16000,8.0,,
omp-for_N16000_t8_run2.out,36.12,omp-for,16000,8.0,,
mpi_N4000_p4_run1.out,2.0,mpi,4000,,4.0,
omp-task_N8000_t4_run1.out,23.31,omp-task,8000,4.0,,
omp-for_N16000_t2_run1.out,79.16,omp-for,16000,2.0,,
omp-for_N16000_t2_run3.out,29.94,omp-for,16000,2.0,,
omp-task_N8000_t4_run3.out,15.28,omp-task,8000,4.0,,
omp-for_N8000_t1_run2.out,5.13,omp-for,8000,1.0,,
mpi_N4000_p4_run3.out,1.24,mpi,4000,,4.0,
omp-for_N16000_t8_run1.out,90.92,omp-for,16000,8.0,,
mpi_N4000_p4_run2.out,2.0,mpi,4000,,4.0,
omp-for_N8000_t1_run3.out,4.27,omp-for,8000,1.0,,
omp-task_N8000_t4_run2.out,20.34,omp-task,8000,4.0,,
omp-for_N16000_t2_run2.out,47.28,omp-for,16000,2.0,,
omp-for_N12000_t4_run2.out,20.97,omp-for,12000,4.0,,
omp-task_N4000_t2_run3.out,1.86,omp-task,4000,2.0,,
mpi_N8000_p2_run3.out,4.0,mpi,8000,,2.0,
mpi_N8000_p20_run2.out,4.0,mpi,8000,,20.0,
mpi_N12000_p1_run2.out,7.92,mpi,12000,,1.0,
mpi_N12000_p1_run3.out,10.3,mpi,12000,,1.0,
mpi_N8000_p2_run2.out,3.0,mpi,8000,,2.0,
mpi_N8000_p20_run3.out,4.0,mpi,8000,,20.0,
omp-task_N4000_t8_run1.out,4.73,omp-task,4000,8.0,,
omp-task_N16000_t1_run1.out,24.99,omp-task,16000,1.0,,
omp-task_N4000_t2_run2.out,1.89,omp-task,4000,2.0,,
mpi_N8000_p8_run1.out,14.0,mpi,8000,,8.0,
omp-for_N12000_t4_run3.out,19.35,omp-for,12000,4.0,,
omp-for_N12000_t4_run1.out,21.02,omp-for,12000,4.0,,
mpi_N8000_p8_run3.out,6.0,mpi,8000,,8.0,
omp-task_N16000_t1_run3.out,18.09,omp-task,16000,1.0,,
omp-task_N4000_t8_run3.out,43.65,omp-task,4000,8.0,,
mpi_N8000_p20_run1.out,4.0,mpi,8000,,20.0,
mpi_N12000_p1_run1.out,8.53,mpi,12000,,1.0,
omp-task_N4000_t8_run2.out,5.02,omp-task,4000,8.0,,
mpi_N8000_p2_run1.out,15.17,mpi,8000,,2.0,
omp-task_N16000_t1_run2.out,18.41,omp-task,16000,1.0,,
mpi_N8000_p8_run2.out,11.0,mpi,8000,,8.0,
omp-task_N4000_t2_run1.out,1.83,omp-task,4000,2.0,,
seq_O3_N12000_run3.out,9.18,seq,12000,,,O3
omp-task_O1_N8000_run2.out,139.17,omp-task,8000,,,O1
mpi_O1_N12000_run3.out,10.0,mpi,12000,,,O1
mpi_O1_N12000_run2.out,11.0,mpi,12000,,,O1
omp-task_O1_N8000_run3.out,12.85,omp-task,8000,,,O1
seq_O1_N4000_run1.out,2.17,seq,4000,,,O1
seq_O3_N12000_run2.out,8.23,seq,12000,,,O3
seq_O1_N4000_run3.out,3.01,seq,4000,,,O1
omp-task_O1_N8000_run1.out,13.01,omp-task,8000,,,O1
mpi_O1_N12000_run1.out,8.0,mpi,12000,,,O1
seq_O1_N4000_run2.out,2.31,seq,4000,,,O1
seq_O3_N12000_run1.out,8.63,seq,12000,,,O3
omp-task_O3_N12000_run2.out,19.71,omp-task,12000,,,O3
omp-task_O1_N4000_run2.out,2.71,omp-task,4000,,,O1
mpi_O2_N16000_run3.out,13.0,mpi,16000,,,O2
omp-for_O3_N16000_run1.out,16.02,omp-for,16000,,,O3
mpi_O2_N16000_run2.out,22.0,mpi,16000,,,O2
omp-task_O1_N4000_run3.out,2.66,omp-task,4000,,,O1
seq_O1_N8000_run1.out,10.22,seq,8000,,,O1
omp-task_O3_N12000_run3.out,17.32,omp-task,12000,,,O3
omp-task_O3_N12000_run1.out,19.66,omp-task,12000,,,O3
seq_O1_N8000_run3.out,4.58,seq,8000,,,O1
omp-task_O1_N4000_run1.out,2.81,omp-task,4000,,,O1
omp-for_O3_N16000_run3.out,18.07,omp-for,16000,,,O3
mpi_O2_N16000_run1.out,13.0,mpi,16000,,,O2
omp-for_O3_N16000_run2.out,17.99,omp-for,16000,,,O3
seq_O1_N8000_run2.out,3.93,seq,8000,,,O1
omp-task_O3_N4000_run1.out,1.45,omp-task,4000,,,O3
omp-task_O2_N8000_run3.out,10.62,omp-task,8000,,,O2
seq_O3_N8000_run3.out,3.44,seq,8000,,,O3
mpi_O3_N16000_run3.out,11.0,mpi,16000,,,O3
seq_O2_N4000_run1.out,1.84,seq,4000,,,O2
seq_O1_N16000_run3.out,18.46,seq,16000,,,O1
omp-task_O2_N12000_run2.out,249.42,omp-task,12000,,,O2
omp-task_O2_N12000_run3.out,18.73,omp-task,12000,,,O2
seq_O1_N16000_run2.out,20.72,seq,16000,,,O1
omp-for_O2_N16000_run1.out,46.46,omp-for,16000,,,O2
mpi_O3_N16000_run2.out,13.0,mpi,16000,,,O3
seq_O3_N8000_run2.out,3.3,seq,8000,,,O3
omp-task_O2_N8000_run2.out,10.14,omp-task,8000,,,O2
omp-task_O3_N4000_run2.out,1.38,omp-task,4000,,,O3
omp-for_O2_N16000_run3.out,25.37,omp-for,16000,,,O2
seq_O2_N4000_run2.out,1.87,seq,4000,,,O2
omp-task_O2_N12000_run1.out,21.74,omp-task,12000,,,O2
seq_O1_N16000_run1.out,20.12,seq,16000,,,O1
mpi_O3_N16000_run1.out,13.0,mpi,16000,,,O3
seq_O2_N4000_run3.out,1.76,seq,4000,,,O2
omp-for_O2_N16000_run2.out,35.13,omp-for,16000,,,O2
seq_O3_N8000_run1.out,3.28,seq,8000,,,O3
omp-task_O2_N8000_run1.out,6.3,omp-task,8000,,,O2
omp-task_O3_N4000_run3.out,1.29,omp-task,4000,,,O3
omp-task_O1_N16000_run2.out,320.27,omp-task,16000,,,O1
seq_O2_N12000_run3.out,9.68,seq,12000,,,O2
omp-task_O2_N4000_run3.out,1.88,omp-task,4000,,,O2
omp-task_O3_N8000_run1.out,6.38,omp-task,8000,,,O3
seq_O2_N8000_run1.out,4.01,seq,8000,,,O2
seq_O3_N4000_run3.out,1.11,seq,4000,,,O3
seq_O3_N4000_run2.out,1.0,seq,4000,,,O3
omp-task_O2_N4000_run2.out,2.18,omp-task,4000,,,O2
seq_O2_N12000_run2.out,9.84,seq,12000,,,O2
omp-task_O1_N16000_run3.out,42.68,omp-task,16000,,,O1
omp-for_O1_N12000_run1.out,13.9,omp-for,12000,,,O1
omp-for_O1_N12000_run3.out,15.0,omp-for,12000,,,O1
omp-task_O1_N16000_run1.out,64.17,omp-task,16000,,,O1
omp-task_O3_N8000_run2.out,5.19,omp-task,8000,,,O3
