type,N,p,time
omp-task,8000,1,3.1744133333333333
omp-task,12000,8,2.73183
mpi,4000,1,0.11325366666666666
omp-task,12000,2,4.861023333333333
mpi,16000,20,0.6207223333333333
mpi,16000,2,1.0370266666666668
omp-for,8000,4,1.1762633333333332
mpi,4000,160,2.76658
mpi,16000,8,0.5129406666666666
omp-for,12000,1,7.847359999999999
mpi,4000,80,0.06495733333333333
omp-for,4000,8,0.196402
mpi,16000,40,0.6806186666666667
mpi,12000,4,0.36809733333333333
omp-for,4000,2,0.3721386666666667
omp-task,16000,4,7.87663
mpi,12000,8,0.29270666666666667
mpi,4000,20,0.06439600000000001
omp-task,16000,2,10.7433
omp-for,4000,4,0.22146233333333334
mpi,12000,2,0.6022803333333333
mpi,8000,1,0.44357833333333335
omp-task,4000,1,0.7097076666666666
omp-task,16000,8,6.5478233333333336
omp-for,16000,1,15.904200000000001
omp-for,8000,8,0.9380543333333332
omp-for,8000,2,1.8231733333333333
mpi,16000,4,0.6325459999999999
mpi,16000,80,0.647948
omp-task,12000,4,3.386626666666667
mpi,4000,40,0.061519366666666665
omp-for,12000,2,4.832656666666667
omp-task,4000,4,0.24401833333333334
omp-for,4000,1,0.706565
mpi,8000,4,0.15637500000000001
omp-for,12000,8,2.7406233333333336
mpi,8000,80,0.2048026666666667
mpi,12000,20,0.4408013333333334
mpi,12000,40,0.5062760000000001
mpi,4000,8,0.044566400000000006
omp-task,8000,8,0.8743916666666666
omp-task,12000,1,7.809633333333333
mpi,16000,1,1.7709066666666669
mpi,4000,2,0.0653187
omp-task,8000,2,1.8549633333333333
omp-for,16000,4,7.953976666666667
mpi,12000,160,6.561319999999999
mpi,8000,40,0.18936566666666665
omp-for,8000,1,3.1554566666666664
omp-for,16000,8,6.72111
mpi,4000,4,0.043246066666666666
omp-task,8000,4,1.1809066666666668
omp-for,16000,2,10.529733333333334
mpi,8000,160,4.673923333333334
omp-for,12000,4,3.339503333333333
omp-task,4000,2,0.3845163333333333
mpi,12000,80,0.39745400000000003
mpi,8000,2,0.25622300000000003
mpi,8000,20,0.17363033333333333
mpi,12000,1,1.0005726666666666
omp-task,4000,8,0.17281366666666664
mpi,16000,160,8.239273333333333
omp-task,16000,1,15.981966666666667
mpi,8000,8,0.12818566666666667
